cf_dimprogramid,cf_programcode,cf_programname,cf_portal_short_label,cf_sectioncode,cf_isactive
"c44aaaaa-aaaa-4aaa-8aaa-000000000001","A1LG001","Affordable Multifamily Energy Efficiency Program","Affordable Multifamily Energy Efficie…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000002","A1LG002","C&I Program - Electric & Gas","C&I Program - Electric & Gas","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000003","A1LG003","Clean Heat - C&I ASHP","Clean Heat - C&I ASHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000004","A1LG004","Clean Heat - C&I GSHP","Clean Heat - C&I GSHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000005","A1LG005","Clean Heat - Commercial & Industrial Air Source Heat Pump","Clean Heat - Commercial & Industrial …","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000006","A1LG006","Clean Heat - Multifamily ASHP","Clean Heat - Multifamily ASHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000007","A1LG007","Clean Heat - Multifamily Air Source Heat Pump","Clean Heat - Multifamily Air Source H…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000008","A1LG008","Clean Heat - Multifamily Ground Source Heat Pump","Clean Heat - Multifamily Ground Sourc…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000009","A1LG009","Clean Heat - Residential ASHP","Clean Heat - Residential ASHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000010","A1LG010","Clean Heat - Residential Air Source Heat Pump","Clean Heat - Residential Air Source H…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000011","A1LG011","Clean Heat - Residential GSHP","Clean Heat - Residential GSHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000012","A1LG012","Clean Heat - Residential Ground Source Heat Pump","Clean Heat - Residential Ground Sourc…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000013","A1LG013","Clean Heat - SMB ASHP","Clean Heat - SMB ASHP","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000014","A1LG014","Clean Heat - Small-Medium Business Air Source Heat Pump","Clean Heat - Small-Medium Business Ai…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000015","A1LG015","Commercial & Industrial","Commercial & Industrial","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000016","A1LG016","Commercial Kitchen","Commercial Kitchen","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000017","A1LG017","Instant Lighting","Instant Lighting","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000018","A1LG018","Multifamily","Multifamily","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000019","A1LG019","Residential Weatherization - Electric & Gas","Residential Weatherization - Electric…","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000020","A1LG020","Retail Lighting","Retail Lighting","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000021","A1LG021","Retail Products","Retail Products","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000022","A1LG022","SMB Program","SMB Program","A","1"
"c44aaaaa-aaaa-4aaa-8aaa-000000000023","A1LG023","Small-Medium Business","Small-Medium Business","A","1"
