cf_factcleanenergyspendingid,cf_sourcetable,cf_period,cf_program,cf_dacstatus,cf_customersegmentcode,cf_measurecategorycode,cf_incentivedollars,cf_participants,cf_highimpactdacpct
"f4444444-4444-4444-4444-444444440001","A1_2023_RESI_DAC","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330001","b2222222-2222-2222-2222-222222220001","ALL",,24196387,13975,62.00
"f4444444-4444-4444-4444-444444440002","A1_2023_RESI_ND","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330001","b2222222-2222-2222-2222-222222220002","ALL",,38215322,13109,
"f4444444-4444-4444-4444-444444440003","A1_2023_MULT_DAC","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330002","b2222222-2222-2222-2222-222222220001","ALL",,39571289,7815,58.00
"f4444444-4444-4444-4444-444444440004","A1_2023_MULT_ND","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330002","b2222222-2222-2222-2222-222222220002","ALL",,35701455,12246,
"f4444444-4444-4444-4444-444444440005","A1_2023_INC_DAC","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330003","b2222222-2222-2222-2222-222222220001","ALL",,46925699,19859,71.00
"f4444444-4444-4444-4444-444444440006","A1_2023_INC_ND","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330003","b2222222-2222-2222-2222-222222220002","ALL",,15937772,5467,
"f4444444-4444-4444-4444-444444440007","A1_2023_SMB_DAC","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330004","b2222222-2222-2222-2222-222222220001","ALL",,11409375,2620,49.00
"f4444444-4444-4444-4444-444444440008","A1_2023_SMB_ND","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330004","b2222222-2222-2222-2222-222222220002","ALL",,19131466,6562,
"f4444444-4444-4444-4444-444444440009","A1_2023_LCI_DAC","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330005","b2222222-2222-2222-2222-222222220001","ALL",,7607250,221,44.00
"f4444444-4444-4444-4444-444444440010","A1_2023_LCI_ND","a1111111-1111-1111-1111-111111110223","c3333333-3333-3333-3333-333333330005","b2222222-2222-2222-2222-222222220002","ALL",,23866617,8187,
"f4444444-4444-4444-4444-444444440011","A1_2024_RESI_DAC","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330001","b2222222-2222-2222-2222-222222220001","ALL",,38200000,15200,62.00
"f4444444-4444-4444-4444-444444440012","A1_2024_RESI_ND","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330001","b2222222-2222-2222-2222-222222220002","ALL",,54900000,10390,
"f4444444-4444-4444-4444-444444440013","A1_2024_MULT_DAC","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330002","b2222222-2222-2222-2222-222222220001","ALL",,62500000,8500,58.00
"f4444444-4444-4444-4444-444444440014","A1_2024_MULT_ND","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330002","b2222222-2222-2222-2222-222222220002","ALL",,51300000,9709,
"f4444444-4444-4444-4444-444444440015","A1_2024_INC_DAC","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330003","b2222222-2222-2222-2222-222222220001","ALL",,74100000,21600,71.00
"f4444444-4444-4444-4444-444444440016","A1_2024_INC_ND","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330003","b2222222-2222-2222-2222-222222220002","ALL",,22900000,4334,
"f4444444-4444-4444-4444-444444440017","A1_2024_SMB_DAC","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330004","b2222222-2222-2222-2222-222222220001","ALL",,18000000,2850,49.00
"f4444444-4444-4444-4444-444444440018","A1_2024_SMB_ND","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330004","b2222222-2222-2222-2222-222222220002","ALL",,27500000,5204,
"f4444444-4444-4444-4444-444444440019","A1_2024_LCI_DAC","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330005","b2222222-2222-2222-2222-222222220001","ALL",,12000000,240,44.00
"f4444444-4444-4444-4444-444444440020","A1_2024_LCI_ND","a1111111-1111-1111-1111-111111110224","c3333333-3333-3333-3333-333333330005","b2222222-2222-2222-2222-222222220002","ALL",,34200000,6473,
