cf_factcleanenergyspendingid,cf_sourcetable,cf_period,cf_program,cf_dacstatus,cf_customersegmentcode,cf_measurecategorycode,cf_incentivedollars,cf_participants,cf_highimpactdacpct
"f55aaaaa-aaaa-4aaa-8aaa-000000000001","LEGACY_A1_2023_Clean_Heat_Residential_ASHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000009","b2222222-2222-2222-2222-222222220001","ALL",,34121994,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000002","LEGACY_A1_2023_Clean_Heat_Residential_ASHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000009","b2222222-2222-2222-2222-222222220002","ALL",,44568622,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000003","LEGACY_A1_2023_C_I_Program_Electric_Gas_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000002","b2222222-2222-2222-2222-222222220001","ALL",,9110325,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000004","LEGACY_A1_2023_C_I_Program_Electric_Gas_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000002","b2222222-2222-2222-2222-222222220002","ALL",,24015451,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000005","LEGACY_A1_2023_Clean_Heat_Multifamily_ASHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000006","b2222222-2222-2222-2222-222222220001","ALL",,20952100,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000006","LEGACY_A1_2023_Clean_Heat_Multifamily_ASHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000006","b2222222-2222-2222-2222-222222220002","ALL",,7336802,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000007","LEGACY_A1_2023_SMB_Program_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000022","b2222222-2222-2222-2222-222222220001","ALL",,9441467,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000008","LEGACY_A1_2023_SMB_Program_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000022","b2222222-2222-2222-2222-222222220002","ALL",,12671526,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000009","LEGACY_A1_2023_Clean_Heat_SMB_ASHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000013","b2222222-2222-2222-2222-222222220001","ALL",,3989082,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000010","LEGACY_A1_2023_Clean_Heat_SMB_ASHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000013","b2222222-2222-2222-2222-222222220002","ALL",,5953542,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000011","LEGACY_A1_2023_Clean_Heat_Residential_GSHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000011","b2222222-2222-2222-2222-222222220001","ALL",,727485,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000012","LEGACY_A1_2023_Clean_Heat_Residential_GSHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000011","b2222222-2222-2222-2222-222222220002","ALL",,7910786,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000013","LEGACY_A1_2023_Clean_Heat_C_I_ASHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000003","b2222222-2222-2222-2222-222222220001","ALL",,2940949,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000014","LEGACY_A1_2023_Clean_Heat_C_I_ASHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000003","b2222222-2222-2222-2222-222222220002","ALL",,3838841,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000015","LEGACY_A1_2023_Retail_Lighting_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000020","b2222222-2222-2222-2222-222222220001","ALL",,2483635,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000016","LEGACY_A1_2023_Retail_Lighting_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000020","b2222222-2222-2222-2222-222222220002","ALL",,1973415,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000017","LEGACY_A1_2023_Instant_Lighting_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000017","b2222222-2222-2222-2222-222222220001","ALL",,503000,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000018","LEGACY_A1_2023_Instant_Lighting_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000017","b2222222-2222-2222-2222-222222220002","ALL",,2320408,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000019","LEGACY_A1_2023_Clean_Heat_C_I_GSHP_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000004","b2222222-2222-2222-2222-222222220001","ALL",,0,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000020","LEGACY_A1_2023_Clean_Heat_C_I_GSHP_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000004","b2222222-2222-2222-2222-222222220002","ALL",,2698732,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000021","LEGACY_A1_2023_Residential_Weatherization_Electric__DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000019","b2222222-2222-2222-2222-222222220001","ALL",,283948,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000022","LEGACY_A1_2023_Residential_Weatherization_Electric__ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000019","b2222222-2222-2222-2222-222222220002","ALL",,1978764,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000023","LEGACY_A1_2023_Commercial_Kitchen_DAC","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000016","b2222222-2222-2222-2222-222222220001","ALL",,793662,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000024","LEGACY_A1_2023_Commercial_Kitchen_ND","a1111111-1111-1111-1111-111111110223","c44aaaaa-aaaa-4aaa-8aaa-000000000016","b2222222-2222-2222-2222-222222220002","ALL",,909211,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000025","LEGACY_A1_2024_Clean_Heat_Residential_Air_Source_He_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000010","b2222222-2222-2222-2222-222222220001","ALL",,45204005,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000026","LEGACY_A1_2024_Clean_Heat_Residential_Air_Source_He_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000010","b2222222-2222-2222-2222-222222220002","ALL",,49716737,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000027","LEGACY_A1_2024_Affordable_Multifamily_Energy_Effici_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000001","b2222222-2222-2222-2222-222222220001","ALL",,71602722,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000028","LEGACY_A1_2024_Affordable_Multifamily_Energy_Effici_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000001","b2222222-2222-2222-2222-222222220002","ALL",,5955328,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000029","LEGACY_A1_2024_Commercial_Industrial_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000015","b2222222-2222-2222-2222-222222220001","ALL",,8885679,,
