family,tableId,year,row,col,rowLabel,storedValue
"CLCPA-142","G3","2025",0,2,"Feet Abandoned within DAC",1
"CLCPA-142","G3","2025",1,2,"Feet Abandoned not in a DAC",0
"CLCPA-142","G3","2025",2,2,"County Total",1
"CLCPA-142","G7","2024",0,2,"Feet Abandoned within DAC",0
"CLCPA-142","G7","2024",1,2,"Feet Abandoned not in a DAC",1
"CLCPA-142","G7","2024",2,2,"County Total",1
"CLCPA-142","J3","2024",0,2,"Total in DAC","64%"
"CLCPA-142","J3","2024",0,4,"Total in DAC","63%"
"CLCPA-142","J3","2024",1,2,"Total in Non-DAC","36%"
"CLCPA-142","J3","2024",1,4,"Total in Non-DAC","37%"
"CLCPA-142","J4","2024",0,2,"Total in DAC","65%"
"CLCPA-142","J4","2024",0,4,"Total in DAC","66%"
"CLCPA-142","J4","2024",1,2,"Total in Non-DAC","35%"
"CLCPA-142","J4","2024",1,4,"Total in Non-DAC","34%"
"CLCPA-142","J6","2024",0,2,"Total in DAC","60%"
"CLCPA-142","J6","2024",0,4,"Total in DAC","59%"
"CLCPA-142","J6","2024",1,2,"Total in Non-DAC","40%"
"CLCPA-142","J6","2024",1,4,"Total in Non-DAC","41%"
"CLCPA-142","J6","2023",0,2,"Total in DAC","61%"
"CLCPA-142","J6","2023",0,4,"Total in DAC","56%"
"CLCPA-142","J6","2023",1,2,"Total in Non-DAC","39%"
"CLCPA-142","J6","2023",1,4,"Total in Non-DAC","44%"
"CLCPA-142","J7","2024",0,4,"Total in DAC","66%"
"CLCPA-142","J7","2024",1,4,"Total in Non-DAC","34%"
"CLCPA-142","J7","2023",0,4,"Total in DAC","66%"
"CLCPA-142","J7","2023",1,4,"Total in Non-DAC","34%"
"CLCPA-142","J9","2024",0,2,"Residential Customers",0.43
"CLCPA-142","J9","2024",0,4,"Residential Customers",0.57
"CLCPA-142","J9","2023",0,2,"Total Number of Residential Customers",0.43
"CLCPA-142","J9","2023",0,4,"Total Number of Residential Customers",0.57
"CLCPA-142","J9","2025",0,2,"Residential Customers",0.44
"CLCPA-142","J9","2025",0,4,"Residential Customers",0.56
"CLCPA-142","A1","2024",0,3,"Affordable Multifamily Energy Efficiency Program",0.92
"CLCPA-142","A1","2024",1,3,"Clean Heat – Commercial & Industrial Air Source Heat Pump",0.24
"CLCPA-142","A1","2024",2,3,"Clean Heat – Commercial & Industrial Ground Source Heat Pump",0
"CLCPA-142","A1","2024",3,3,"Clean Heat – Midstream Heat Pump Water Heater",0.37
"CLCPA-142","A1","2024",4,3,"Clean Heat – Multifamily Air Source Heat Pump",0.65
"CLCPA-142","A1","2024",5,3,"Clean Heat – Multifamily Ground Source Heat Pump",0.98
"CLCPA-142","A1","2024",6,3,"Clean Heat – Residential Air Source Heat Pump",0.48
"CLCPA-142","A1","2024",7,3,"Clean Heat – Residential Ground Source Heat Pump",0.1
"CLCPA-142","A1","2024",8,3,"Clean Heat – Small-Medium Business Air Source Heat Pump",0.32
"CLCPA-142","A1","2024",9,3,"Commercial & Industrial",0.17
"CLCPA-142","A1","2024",10,3,"Commercial Kitchen",0.46
"CLCPA-142","A1","2024",11,3,"Efficiency Starter Program - LMI",1
"CLCPA-142","A1","2024",12,3,"EmPower+",1
"CLCPA-142","A1","2024",13,3,"Instant Lighting",0.38
"CLCPA-142","A1","2024",14,3,"Marketplace",0.33
"CLCPA-142","A1","2024",15,3,"Midstream Water and Space Heating",0.82
"CLCPA-142","A1","2024",16,3,"Multifamily",0.45
"CLCPA-142","A1","2024",17,3,"Multifamily - Fuel-Switch",0.04
"CLCPA-142","A1","2024",18,3,"Commercial Water Heaters PEI (Pump Energy Index)",0.08
"CLCPA-142","A1","2024",19,3,"Pilots",0.37
"CLCPA-142","A1","2024",20,3,"Real Time Energy Management",0.57
"CLCPA-142","A1","2024",21,3,"Retail Lighting",-0.76
"CLCPA-142","A1","2024",22,3,"Retail Lighting - LMI",1
"CLCPA-142","A1","2024",23,3,"Retail Products",0.63
"CLCPA-142","A1","2024",24,3,"Small-Medium Business",0.52
"CLCPA-142","A1","2024",25,3,"Smart Kids",0.98
"CLCPA-142","A1","2024",26,3,"Weather Ready",0.21
"CLCPA-142","A1","2024",27,3,"Total",0.54
"CLCPA-142","A1","2023",0,3,"AMEEP - Electric & Gas",0.93
"CLCPA-142","A1","2023",1,3,"Clean Heat – C&I ASHP",0.43
"CLCPA-142","A1","2023",2,3,"Clean Heat – C&I GSHP",0
"CLCPA-142","A1","2023",3,3,"Clean Heat – Multifamily ASHP",0.74
"CLCPA-142","A1","2023",4,3,"Clean Heat – Multifamily GSHP",1
"CLCPA-142","A1","2023",5,3,"Clean Heat – Residential ASHP",0.43
"CLCPA-142","A1","2023",6,3,"Clean Heat – Residential GSHP",0.08
"CLCPA-142","A1","2023",7,3,"Clean Heat – SMB ASHP",0.4
"CLCPA-142","A1","2023",8,3,"C&I Program – Electric & Gas",0.28
"CLCPA-142","A1","2023",9,3,"Commercial Kitchen",0.47
"CLCPA-142","A1","2023",10,3,"Efficiency Starter Program - LMI",1
"CLCPA-142","A1","2023",11,3,"Instant Lighting",0.18
"CLCPA-142","A1","2023",12,3,"Marketplace – Electric & Gas",0.34
"CLCPA-142","A1","2023",13,3,"Multifamily Program – Electric & Gas",0.41
"CLCPA-142","A1","2023",14,3,"Pilots",0.35
"CLCPA-142","A1","2023",15,3,"Residential Weatherization – Electric & Gas",0.13
"CLCPA-142","A1","2023",16,3,"Retail Lighting",0.56
"CLCPA-142","A1","2023",17,3,"Retail Lighting - LMI",1
"CLCPA-142","A1","2023",18,3,"Retail Products – Electric & Gas",0.56
"CLCPA-142","A1","2023",19,3,"SMB Program",0.43
"CLCPA-142","A1","2023",20,3,"Smart Kids – Electric & Gas",0.53
"CLCPA-142","A1","2023",21,3,"Smart Kids LMI – Electric & Gas",1
"CLCPA-142","A1","2023",22,3,"Midstream Water and Space Heating",0.52
"CLCPA-142","A1","2023",23,3,"Residential Program – Gas",0.02
"CLCPA-142","A1","2023",24,3,"Total",0.49
"CLCPA-142","A1","2025",0,3,"Affordable Multifamily Energy Efficiency Program",0.88
"CLCPA-142","A1","2025",1,3,"Clean Heat – Commercial & Industrial Air Source Heat Pump",0.16
"CLCPA-142","A1","2025",2,3,"Clean Heat – Commercial & Industrial Ground Source Heat Pump",0
"CLCPA-142","A1","2025",3,3,"Clean Heat – Midstream Heat Pump Water Heater",0.45
"CLCPA-142","A1","2025",4,3,"Clean Heat – Multifamily Air Source Heat Pump",0.68
"CLCPA-142","A1","2025",5,3,"Clean Heat – Multifamily Ground Source Heat Pump",0.97
"CLCPA-142","A1","2025",6,3,"Clean Heat – Residential Air Source Heat Pump",0.58
"CLCPA-142","A1","2025",7,3,"Clean Heat – Residential Ground Source Heat Pump",0.17
"CLCPA-142","A1","2025",8,3,"Clean Heat – Small-Medium Business Air Source Heat Pump",0.44
"CLCPA-142","A1","2025",9,3,"Commercial & Industrial",0.2
"CLCPA-142","A1","2025",10,3,"Commercial Kitchen",0
"CLCPA-142","A1","2025",11,3,"EmPower+",1
"CLCPA-142","A1","2025",12,3,"Instant Lighting",0.51
"CLCPA-142","A1","2025",13,3,"Midstream Water and Space Heating",0.7
"CLCPA-142","A1","2025",14,3,"Multifamily",0.52
"CLCPA-142","A1","2025",15,3,"Multifamily - Fuel-Switch",0.08
"CLCPA-142","A1","2025",16,3,"Commercial Water Heaters PEI (Pump Energy Index)",0.12
"CLCPA-142","A1","2025",17,3,"Pilots",0
"CLCPA-142","A1","2025",18,3,"Real Time Energy Management",0.68
"CLCPA-142","A1","2025",19,3,"Retail Products",0.63
"CLCPA-142","A1","2025",20,3,"Small-Medium Business",0.46
"CLCPA-142","A1","2025",21,3,"Weather Ready",0.25
"CLCPA-142","A1","2025",22,3,"Total",9.480000000000002
"CLCPA-142","A2","2024",0,3,"Affordable Multifamily Energy Efficiency Program",0.91
"CLCPA-142","A2","2024",1,3,"Clean Heat – Commercial & Industrial Air Source Heat Pump",0.17
"CLCPA-142","A2","2024",2,3,"Clean Heat – Commercial & Industrial Ground Source Heat Pump",0
"CLCPA-142","A2","2024",3,3,"Clean Heat – Midstream Heat Pump Water Heater",0.49
"CLCPA-142","A2","2024",4,3,"Clean Heat – Multifamily Air Source Heat Pump",0.64
"CLCPA-142","A2","2024",5,3,"Clean Heat – Multifamily Ground Source Heat Pump",0.99
"CLCPA-142","A2","2024",6,3,"Clean Heat – Residential Air Source Heat Pump",0.43
"CLCPA-142","A2","2024",7,3,"Clean Heat – Residential Ground Source Heat Pump",0.08
"CLCPA-142","A2","2024",8,3,"Clean Heat – Small-Medium Business Air Source Heat Pump",0.39
"CLCPA-142","A2","2024",9,3,"Commercial & Industrial",0.29
"CLCPA-142","A2","2024",10,3,"Commercial Water Heaters PEI (Pump Energy Index)",0.04
"CLCPA-142","A2","2024",11,3,"Efficiency Starter Program - LMI",1
"CLCPA-142","A2","2024",12,3,"EmPower+",1
"CLCPA-142","A2","2024",13,3,"Instant Lighting",0.36
"CLCPA-142","A2","2024",14,3,"Marketplace",0.36
"CLCPA-142","A2","2024",15,3,"Midstream Water and Space Heating",0.56
"CLCPA-142","A2","2024",16,3,"Multifamily",0.36
"CLCPA-142","A2","2024",17,3,"Multifamily - Fuel-Switch",0.06
"CLCPA-142","A2","2024",18,3,"Real Time Energy Management",0.57
"CLCPA-142","A2","2024",19,3,"Residential Home Energy Reports",0.43
"CLCPA-142","A2","2024",20,3,"Retail Lighting - LMI27",1
"CLCPA-142","A2","2024",21,3,"Retail Products",0.65
